timestamp	rpm_diesel	power_generator	poz_kont_sec
1575816828	412	222	4
1575816831	422	267	5
1575816834	435	379	5
1575816837	449	339	5
1575816840	452	326	4
1575816843	451	354	5
1575816846	454	440	5
1575816849	462	486	8
1575816852	489	625	8
1575816855	517	768	9
1575816858	552	916	9
1575816861	585	988	10
1575816864	607	1045	10
1575816867	628	1109	10
1575816870	643	1192	11
1575816873	664	1280	11
1575816876	681	1314	11
1575816879	695	1335	11
1575816882	703	1334	11
1575816885	706	1329	11
1575816888	709	1324	11
1575816891	709	1332	11
1575816894	709	1356	13
1575816897	714	1439	12
1575816900	719	1447	12
1575816903	725	1506	13
1575816906	736	1595	13
1575816909	751	1639	13
1575816912	765	1651	13
1575816915	775	1654	13
1575816918	778	1650	13
1575816921	781	1648	13
1575816924	782	1660	13
1575816927	782	1646	13
1575816930	782	1646	13
1575816933	782	1647	13
1575816936	782	1649	13
1575816939	782	1640	13
1575816942	781	1642	13
1575816945	781	1638	13
1575816948	780	1639	13
1575816951	780	1639	13
1575816954	779	1648	13
1575816957	778	1643	13
1575816960	778	1641	13
1575816963	780	1629	13
1575816966	781	1627	13
1575816969	782	1627	13
1575816972	782	1645	13
1575816975	782	1636	13
1575816978	782	1638	13
1575816981	782	1629	13
1575816984	782	1622	13
1575816987	781	1634	13
1575816990	780	1634	13
1575816993	781	1631	13
1575816996	781	1626	13
1575816999	782	1628	13
1575817002	781	1629	13
1575817005	781	1624	13
1575817008	781	1614	13
1575817011	781	1625	13
1575817014	780	1620	13
1575817017	779	1614	13
1575817020	780	1619	13
1575817023	782	1614	13
1575817026	783	1614	13
1575817029	782	1613	13
1575817032	780	1621	13
1575817035	780	1614	13
1575817038	781	1612	13
1575817041	782	1608	13
1575817044	781	1613	13
1575817047	780	1619	13
1575817050	779	1617	13
1575817053	779	1610	13
1575817056	779	1602	13
1575817059	782	1492	13
1575817062	776	1573	13
1575817065	772	1589	13
1575817068	768	1601	13
1575817071	766	1606	13
1575817074	769	1626	13
1575817077	773	1632	13
1575817080	777	1622	13
1575817083	780	1618	13
1575817086	781	1623	13
1575817089	781	1624	13
1575817092	780	1629	13
1575817095	780	1631	13
1575817098	781	1627	13
1575817101	781	1629	13
1575817104	781	1630	13
1575817107	782	1625	13
1575817110	781	1622	13
1575817113	781	1620	13
1575817116	781	1619	13
1575817119	781	1625	13
1575817122	781	1632	13
1575817125	781	1630	13
1575817128	781	1623	13
1575817131	781	1629	13
1575817134	781	1623	13
1575817137	781	1626	13
1575817140	782	1625	13
1575817143	781	1615	13
1575817146	781	1617	13
1575817149	780	1625	13
1575817152	779	1626	13
1575817155	779	1620	13
1575817158	779	1624	13
1575817161	779	1626	13
1575817164	779	1626	13
1575817167	777	1628	13
1575817170	776	1630	13
1575817173	777	1627	13
1575817176	779	1621	13
1575817179	783	1627	13
1575817182	783	1625	13
1575817185	783	1621	13
1575817188	781	1624	13
1575817191	781	1617	13
1575817194	781	1624	13
1575817197	780	1623	13
1575817200	780	1626	13
1575817203	780	1630	13
1575817206	780	1622	13
1575817209	780	1631	13
1575817212	781	1626	13
1575817215	781	1628	13
1575817218	781	1623	13
1575817221	781	1622	13
1575817224	781	1617	13
1575817227	781	1621	13
1575817230	781	1625	13
1575817233	781	1625	13
1575817236	781	1616	13
1575817239	781	1625	13
1575817242	781	1615	13
1575817245	781	1626	13
1575817248	780	1629	13
1575817251	780	1624	13
1575817254	779	1628	13
1575817257	779	1628	13
1575817260	780	1619	13
1575817263	780	1627	13
1575817266	780	1627	13
1575817269	779	1620	13
1575817272	779	1617	13
1575817275	779	1624	13
1575817278	780	1619	13
1575817281	782	1609	13
1575817284	783	1617	13
1575817287	783	1630	13
1575817290	782	1613	13
1575817293	781	1617	13
1575817296	781	1627	13
1575817299	780	1619	13
1575817302	781	1615	13
1575817305	781	1624	13
1575817308	781	1627	13
1575817311	781	1617	13
1575817314	779	1625	13
1575817317	779	1624	13
1575817320	779	1616	13
1575817323	780	1619	13
1575817326	782	1613	13
1575817329	782	1622	13
1575817332	781	1629	13
1575817335	780	1625	13
1575817338	780	1620	13
1575817341	781	1615	13
1575817344	781	1617	13
1575817347	780	1625	13
1575817350	779	1626	13
1575817353	779	1626	13
1575817356	779	1627	13
1575817359	779	1625	13
1575817362	780	1623	13
1575817365	780	1616	13
1575817368	781	1624	13
1575817371	781	1619	13
1575817374	781	1623	13
1575817377	781	1625	13
1575817380	781	1619	13
1575817383	782	1616	13
1575817386	782	1619	13
1575817389	782	1622	13
1575817392	781	1623	13
1575817395	781	1616	13
1575817398	781	1618	13
1575817401	781	1617	13
1575817404	781	1622	13
1575817407	780	1620	13
1575817410	780	1622	13
1575817413	781	1621	13
1575817416	781	1631	13
1575817419	781	1629	13
1575817422	781	1628	13
1575817425	780	1635	13
1575817428	781	1625	13
1575817431	781	1624	13
1575817434	781	1625	13
1575817437	781	1628	13
1575817440	781	1636	13
1575817443	781	1635	13
1575817446	781	1641	13
1575817449	781	1633	13
1575817452	780	1220	13
1575817455	757	1324	11
1575817458	733	1334	11
1575817461	711	1331	11
1575817464	702	1336	11
1575817467	706	1334	11
1575817470	707	1333	11
1575817473	707	1338	11
1575817476	707	1338	11
1575817479	707	1333	11
1575817482	707	1331	11
1575817485	706	1330	11
1575817488	706	1340	11
1575817491	705	1341	11
1575817494	706	1336	11
1575817497	707	1336	11
1575817500	708	1333	11
1575817503	708	1331	11
1575817506	706	1332	11
1575817509	705	1338	11
1575817512	706	1338	11
1575817515	707	1342	11
1575817518	707	1343	11
1575817521	707	1328	11
1575817524	707	1328	11
1575817527	707	1330	11
1575817530	706	1331	11
1575817533	706	1328	11
1575817536	706	1322	11
1575817539	706	1330	11
1575817542	706	1047	11
1575817545	680	1120	9
1575817548	651	993	9
1575817551	626	810	9
1575817554	595	786	8
1575817557	591	722	10
1575817560	566	751	7
1575817563	567	545	7
1575817566	541	440	7
1575817569	521	458	5
1575817572	492	321	5
1575817575	465	294	4
1575817578	452	89	5
1575817581	426	47	1
1575817584	395	35	1
1575817587	365	0	1
1575817590	343	0	0
1575817593	344	0	0
1575817596	345	0	0
